Dates,Open rates,Max Rates,Min Rates
07-03-2017,"14,7000","16,1700","14,2100"
08-03-2017,"14,6000","14,6000","13,2200"
09-03-2017,"14,1500","14,4000","13,7500"
10-03-2017,"13,7500","14,3500","13,7500"
13-03-2017,"14,4800","14,9300","14,3000"
14-03-2017,"14,9000","15,2800","14,6100"
15-03-2017,"14,8600","15,0700","14,6000"
16-03-2017,"15,1600","15,6000","15,1400"
17-03-2017,"15,3000","15,5200","14,6100"
20-03-2017,"15,0300","15,0300","14,7000"
21-03-2017,"14,6500","14,6500","14,1000"
22-03-2017,"14,2000","14,2000","13,7900"
23-03-2017,"14,1700","14,1700","13,6000"
24-03-2017,"14,0000","14,0000","13,7500"
27-03-2017,"13,7500","13,7900","13,6200"
28-03-2017,"13,6500","14,0000","13,6000"
29-03-2017,"13,8100","14,0600","13,8100"
30-03-2017,"13,7000","13,9000","13,7000"
31-03-2017,"13,7100","13,7500","13,7000"
03-04-2017,"13,8000","13,8000","13,7000"
04-04-2017,"13,7000","13,8000","13,7000"
05-04-2017,"13,7600","13,9700","13,7500"
06-04-2017,"13,7000","13,8500","13,6800"
07-04-2017,"13,6000","13,9900","13,4300"
10-04-2017,"13,6100","13,8000","13,6100"
11-04-2017,"13,7900","13,7900","13,4000"
12-04-2017,"13,5900","13,7400","13,5500"
13-04-2017,"13,5100","13,6800","13,5100"
18-04-2017,"13,5100","13,5200","13,4000"
19-04-2017,"13,4000","13,4000","13,1700"
20-04-2017,"13,2100","13,2100","13,1800"
21-04-2017,"13,1600","13,1600","12,6600"
24-04-2017,"12,5900","12,5900","12,3800"
25-04-2017,"12,2700","12,2700","12,0500"
26-04-2017,"12,0100","13,0000","11,7200"
27-04-2017,"12,9900","12,9900","12,5000"
28-04-2017,"12,6000","12,8000","12,5000"
02-05-2017,"12,7400","12,7400","12,3500"
04-05-2017,"12,3600","12,5700","12,1400"
05-05-2017,"12,5000","12,5400","12,3000"
08-05-2017,"12,4900","12,4900","11,9100"
09-05-2017,"11,9300","12,1900","11,9300"
10-05-2017,"11,9600","12,0000","11,9000"
11-05-2017,"12,0000","12,2000","11,7500"
12-05-2017,"11,8700","12,1700","11,8500"
15-05-2017,"11,9000","12,3700","11,9000"
16-05-2017,"12,1000","12,2400","12,0000"
17-05-2017,"12,0100","12,0100","11,3200"
18-05-2017,"11,8100","11,8100","11,4400"
19-05-2017,"11,4400","12,2200","11,4400"
22-05-2017,"12,1500","12,1500","11,6500"
23-05-2017,"11,5100","11,6500","11,5000"
24-05-2017,"11,4400","11,5900","11,3100"
